"序号","来源","来源单位负责人","文件名","操作时间","创建时间","SHA256哈希值","SM3哈希值","文件大小","校验人","校验时间","校验人GPG公钥ID","校验人GPG密钥创建时间","获取公钥路径"
"11","贵阳市云岩区人民法院档案室","贵阳市云岩区人民法院档案室相关档案负责人","001600-出庭通知书.jpg","2025年8月27日  12:12:13","2020年12月14日  16:42:42","0AB8494D3C79575CD15414BC83D7978A5F1A494B67836B3F231409241B3E233F","EA7FBE21A6B99E90BDB7AE993AF1B97A3E927FDA372701D933FEE1DF8A081CBC","429.14 KB","王贵平","2025年9月10日  09:35:11","15977DCF1A61ECA784CCF3F141FFD57D15150144","2025年8月28日  00:58:15","https://keyserver.ubuntu.com/pks/lookup?search=15977DCF1A61ECA784CCF3F141FFD57D15150144&fingerprint=on&op=index"
"12","贵阳市云岩区人民法院档案室","贵阳市云岩区人民法院档案室相关档案负责人","001500-送达回证.jpg","2025年8月27日  12:12:12","2020年12月14日  16:45:34","B789C32667157A565B4A8F8C111943BB4E680970C2B8ECE23708DC14B3B794F7","4390AD8EA1D6044017BAA28F5F3A607003ADB9FDD593C31F46B8E9FEA8208EE4","414.34 KB","王贵平","2025年9月10日  09:35:10","15977DCF1A61ECA784CCF3F141FFD57D15150144","2025年8月28日  00:58:15","https://keyserver.ubuntu.com/pks/lookup?search=15977DCF1A61ECA784CCF3F141FFD57D15150144&fingerprint=on&op=index"
"13","贵阳市云岩区人民法院档案室","贵阳市云岩区人民法院档案室相关档案负责人","001400-法律援助公函.jpg","2025年8月27日  12:12:12","2020年12月14日  16:49:16","E16FF246C8A667CF4FA361B34C3D5FE791000D2FA9ECF12777565A48A2E87A34","C6C3A45A6662E452B6C38B21827DCBE783F94A013CFD09C12FC96D1B8B56DB7B","564.46 KB","王贵平","2025年9月10日  09:35:10","15977DCF1A61ECA784CCF3F141FFD57D15150144","2025年8月28日  00:58:15","https://keyserver.ubuntu.com/pks/lookup?search=15977DCF1A61ECA784CCF3F141FFD57D15150144&fingerprint=on&op=index"
"14","贵阳市云岩区人民法院档案室","贵阳市云岩区人民法院档案室相关档案负责人","001300-法律援助公函.jpg","2025年8月27日  12:12:12","2020年12月14日  16:52:18","36C9582DB85BE28BE081031E525C1FB038F2D99C989AA669118FF9DA28A39061","55CA9917DBC032491712301E99244EDD53556B11404EC530740DFECEDBA3B70D","437.04 KB","王贵平","2025年9月10日  09:35:10","15977DCF1A61ECA784CCF3F141FFD57D15150144","2025年8月28日  00:58:15","https://keyserver.ubuntu.com/pks/lookup?search=15977DCF1A61ECA784CCF3F141FFD57D15150144&fingerprint=on&op=index"
"15","贵阳市云岩区人民法院档案室","贵阳市云岩区人民法院档案室相关档案负责人","001200-法律援助公函.jpg","2025年8月27日  12:12:12","2020年12月14日  16:54:22","BBE26CCC90CB407DE1C5C4FA19746D3610821B5EBD6D23F0BC6E0158BDA2E308","523B8253EA31009E71F6723D49DF2C32F31F82BAA8A80A5A503C09228572DAD6","532.39 KB","王贵平","2025年9月10日  09:35:10","15977DCF1A61ECA784CCF3F141FFD57D15150144","2025年8月28日  00:58:15","https://keyserver.ubuntu.com/pks/lookup?search=15977DCF1A61ECA784CCF3F141FFD57D15150144&fingerprint=on&op=index"
"16","贵阳市云岩区人民法院档案室","贵阳市云岩区人民法院档案室相关档案负责人","002300-刑事庭审笔录.jpg","2025年8月27日  12:12:14","2020年12月14日  17:07:46","4D284B75402075ABF8B5CF1FF56D01DF8A86C3FC3F610709F6F9373B0F4532B1","6513F63DD1C22153ED3B36465633584605B1044700509D484F3587C935643C96","521.45 KB","王贵平","2025年9月10日  09:35:11","15977DCF1A61ECA784CCF3F141FFD57D15150144","2025年8月28日  00:58:15","https://keyserver.ubuntu.com/pks/lookup?search=15977DCF1A61ECA784CCF3F141FFD57D15150144&fingerprint=on&op=index"
"17","贵阳市云岩区人民法院档案室","贵阳市云岩区人民法院档案室相关档案负责人","002200-刑事庭审笔录.jpg","2025年8月27日  12:12:13","2020年12月14日  17:11:16","7A91990AACDD8E6766EBA5B1F76B9B0FD8EBF38261D9762DAA141A6334366249","27EE6AFE95CAD5649D715720F79F055637A63DE2DA977C7C537E85C2FEF0E684","631.14 KB","王贵平","2025年9月10日  09:35:11","15977DCF1A61ECA784CCF3F141FFD57D15150144","2025年8月28日  00:58:15","https://keyserver.ubuntu.com/pks/lookup?search=15977DCF1A61ECA784CCF3F141FFD57D15150144&fingerprint=on&op=index"
"18","贵阳市云岩区人民法院档案室","贵阳市云岩区人民法院档案室相关档案负责人","002100-刑事庭审笔录.jpg","2025年8月27日  12:12:13","2020年12月14日  17:13:06","563100EA429257302212DE9DE7B1BD3573811F7E4A66C4428E76931D8F319FB6","9601876E8CA59588B57B93B3DAEF9816864B05F66536684DE06FE8095A9636F5","711.91 KB","王贵平","2025年9月10日  09:35:11","15977DCF1A61ECA784CCF3F141FFD57D15150144","2025年8月28日  00:58:15","https://keyserver.ubuntu.com/pks/lookup?search=15977DCF1A61ECA784CCF3F141FFD57D15150144&fingerprint=on&op=index"
"19","贵阳市云岩区人民法院档案室","贵阳市云岩区人民法院档案室相关档案负责人","002000-刑事庭审笔录.jpg","2025年8月27日  12:12:13","2020年12月14日  17:14:32","07C5C86D5FFD38C7D6C8733A8268A35E74CEBEF97F50EE5B78D943F61EC522D0","BD4AF0AC613E31F49782A25A04D204331DDDC45C0EDF8F1D51851B5EEA8C8E86","546.22 KB","王贵平","2025年9月10日  09:35:11","15977DCF1A61ECA784CCF3F141FFD57D15150144","2025年8月28日  00:58:15","https://keyserver.ubuntu.com/pks/lookup?search=15977DCF1A61ECA784CCF3F141FFD57D15150144&fingerprint=on&op=index"
"20","贵阳市云岩区人民法院档案室","贵阳市云岩区人民法院档案室相关档案负责人","001900-刑事庭审笔录.jpg","2025年8月27日  12:12:13","2020年12月14日  17:18:46","054F45E5C56C16F7E1ECE069063BD0C02899BFCA4DB091CBB490CCB1BE7C687A","5055CFB3BCF1598BC5C14721A8E7BF681D530E51FBA5436D0E4472CCD2170B8D","698.12 KB","王贵平","2025年9月10日  09:35:11","15977DCF1A61ECA784CCF3F141FFD57D15150144","2025年8月28日  00:58:15","https://keyserver.ubuntu.com/pks/lookup?search=15977DCF1A61ECA784CCF3F141FFD57D15150144&fingerprint=on&op=index"
"21","贵阳市云岩区人民法院档案室","贵阳市云岩区人民法院档案室相关档案负责人","001800-刑事庭审笔录.jpg","2025年8月27日  12:12:13","2020年12月14日  17:20:30","9814A9EB4A7ABCF8A798BF3CC1CB36F36FE24B5EACE69E73659BF81B3D4B39CB","8121EC4B47CF72738EA735496B895175E7F153E03CB6AB47C4EA54B5B7B0781F","541.08 KB","王贵平","2025年9月10日  09:35:11","15977DCF1A61ECA784CCF3F141FFD57D15150144","2025年8月28日  00:58:15","https://keyserver.ubuntu.com/pks/lookup?search=15977DCF1A61ECA784CCF3F141FFD57D15150144&fingerprint=on&op=index"
"22","贵阳市云岩区人民法院档案室","贵阳市云岩区人民法院档案室相关档案负责人","001700-公告.jpg","2025年8月27日  12:12:13","2020年12月14日  17:22:46","2E1D21248DE43519A144355F4000DCB770B171DCAFC4977766D19484B9C2C06A","D4F27FAD2299B990A3771F95A5F5873EB5871540C89A16289F726FFCC1984069","387.07 KB","王贵平","2025年9月10日  09:35:11","15977DCF1A61ECA784CCF3F141FFD57D15150144","2025年8月28日  00:58:15","https://keyserver.ubuntu.com/pks/lookup?search=15977DCF1A61ECA784CCF3F141FFD57D15150144&fingerprint=on&op=index"
"23","贵阳市云岩区人民法院档案室","贵阳市云岩区人民法院档案室相关档案负责人","003100-相关证据材料.jpg","2025年8月27日  12:12:15","2020年12月14日  17:33:10","3724A6C6AB088A4D89040A54E51BAECA9E79D61615227FEE256C30E221DD16A9","0167377FEDC1237B5CAEECE0CFE512C79B84C169C0A18F61F36575825B8D4480","1.81 MB","王贵平","2025年9月10日  09:35:12","15977DCF1A61ECA784CCF3F141FFD57D15150144","2025年8月28日  00:58:15","https://keyserver.ubuntu.com/pks/lookup?search=15977DCF1A61ECA784CCF3F141FFD57D15150144&fingerprint=on&op=index"
"24","贵阳市云岩区人民法院档案室","贵阳市云岩区人民法院档案室相关档案负责人","003000-相关证据材料.jpg","2025年8月27日  12:12:15","2020年12月14日  17:35:00","42CE8B05FA1AA46FA843059A5B9BC32288AA8AE128FD0DC804F00A0BE94DBEBB","0084D9650116A51BC5D89D09AE6259824E91A409217155AFEEEC3903EBC88556","532.69 KB","王贵平","2025年9月10日  09:35:12","15977DCF1A61ECA784CCF3F141FFD57D15150144","2025年8月28日  00:58:15","https://keyserver.ubuntu.com/pks/lookup?search=15977DCF1A61ECA784CCF3F141FFD57D15150144&fingerprint=on&op=index"
"25","贵阳市云岩区人民法院档案室","贵阳市云岩区人民法院档案室相关档案负责人","002900-相关证据材料.jpg","2025年8月27日  12:12:14","2020年12月14日  17:38:22","1E570A8843C36E494E1A2B0EDCA04D2B8D23B928A4DA60E4FA8442DA71943835","BBD92DB1EC67222528CCDF96008AED6150EFCDB6E7C2236B5DA844EBE768FF44","659.56 KB","王贵平","2025年9月10日  09:35:12","15977DCF1A61ECA784CCF3F141FFD57D15150144","2025年8月28日  00:58:15","https://keyserver.ubuntu.com/pks/lookup?search=15977DCF1A61ECA784CCF3F141FFD57D15150144&fingerprint=on&op=index"
"26","贵阳市云岩区人民法院档案室","贵阳市云岩区人民法院档案室相关档案负责人","002800-相关证据材料.jpg","2025年8月27日  12:12:14","2020年12月14日  17:40:44","2EEC3750F51027D1191766C93A9679F52BCF352B790C9EFF468F3795765C3D46","473D55BA39A692371998DAA1261C7A236417353CF61B92979D2B28A08E3518FD","687.46 KB","王贵平","2025年9月10日  09:35:12","15977DCF1A61ECA784CCF3F141FFD57D15150144","2025年8月28日  00:58:15","https://keyserver.ubuntu.com/pks/lookup?search=15977DCF1A61ECA784CCF3F141FFD57D15150144&fingerprint=on&op=index"
