"序号","来源","来源单位负责人","文件名","操作时间","创建时间","SHA256哈希值","SM3哈希值","文件大小","校验人","校验时间","校验人GPG公钥ID","校验人GPG密钥创建时间","获取公钥路径"
"37","贵阳市云岩区人民法院档案室","贵阳市云岩区人民法院档案室相关档案负责人","003400-相关证据材料.jpg","2025年8月27日  12:12:15","2020年12月14日  18:23:34","35F9C528BF36FEFE1B327BD44B1A14909F50058A568F75504A7DB6FF2ACCFEA7","058620DC59DCCD447176D125D0C82169FAC9BD7DF2E92C89FA37837BEB219699","733.44 KB","王贵平","2025年9月10日  09:35:13","15977DCF1A61ECA784CCF3F141FFD57D15150144","2025年8月28日  00:58:15","https://keyserver.ubuntu.com/pks/lookup?search=15977DCF1A61ECA784CCF3F141FFD57D15150144&fingerprint=on&op=index"
"38","贵阳市云岩区人民法院档案室","贵阳市云岩区人民法院档案室相关档案负责人","003300-相关证据材料.jpg","2025年8月27日  12:12:15","2020年12月14日  18:24:26","64574B827FF7B430C82F38B7B9A5B286394926F4E5FF9F1E5915FC1D8851F2AB","9DBE334A92A76D3E1BDBB3E72A9535F8FA62B9E3EA06AB77D109C9C1A0FB55D5","494.41 KB","王贵平","2025年9月10日  09:35:13","15977DCF1A61ECA784CCF3F141FFD57D15150144","2025年8月28日  00:58:15","https://keyserver.ubuntu.com/pks/lookup?search=15977DCF1A61ECA784CCF3F141FFD57D15150144&fingerprint=on&op=index"
"39","贵阳市云岩区人民法院档案室","贵阳市云岩区人民法院档案室相关档案负责人","003200-相关证据材料.jpg","2025年8月27日  12:12:15","2020年12月14日  18:26:36","D2BE90F9105939646D926E4548A94291541CF6509814BFBBB42940E0AF9AEF1A","4790DAD4442194F3BEB566D66111ADBA2AD1BF5AB3F915AAA95981C0993722DF","499.47 KB","王贵平","2025年9月10日  09:35:13","15977DCF1A61ECA784CCF3F141FFD57D15150144","2025年8月28日  00:58:15","https://keyserver.ubuntu.com/pks/lookup?search=15977DCF1A61ECA784CCF3F141FFD57D15150144&fingerprint=on&op=index"
"40","贵阳市云岩区人民法院档案室","贵阳市云岩区人民法院档案室相关档案负责人","005000-提押票.jpg","2025年8月27日  12:12:18","2020年12月14日  18:37:42","57982BB43BA0FDA64745E45DBB0E4F80ACB37C1FD988238BD33FBD337C50C7B4","AA0223ACDAF7E6854C3B2DF653A5820591F7084B29D75E9D3AD979DA49154CFB","534.37 KB","王贵平","2025年9月10日  09:35:15","15977DCF1A61ECA784CCF3F141FFD57D15150144","2025年8月28日  00:58:15","https://keyserver.ubuntu.com/pks/lookup?search=15977DCF1A61ECA784CCF3F141FFD57D15150144&fingerprint=on&op=index"
"41","贵阳市云岩区人民法院档案室","贵阳市云岩区人民法院档案室相关档案负责人","004900-宣判笔录及送达回证.jpg","2025年8月27日  12:12:18","2020年12月14日  18:39:26","0654A45FF301C097824EA088CA355DD40A800DAB6E7A6E96D74B887FDC917F20","F56A66C7DAB6B6C278800EF40EEC71A3A865B4F29D429FE00BFC4A6F36B05661","422.59 KB","王贵平","2025年9月10日  09:35:15","15977DCF1A61ECA784CCF3F141FFD57D15150144","2025年8月28日  00:58:15","https://keyserver.ubuntu.com/pks/lookup?search=15977DCF1A61ECA784CCF3F141FFD57D15150144&fingerprint=on&op=index"
"42","贵阳市云岩区人民法院档案室","贵阳市云岩区人民法院档案室相关档案负责人","004800-宣判笔录及送达回证.jpg","2025年8月27日  12:12:17","2020年12月14日  18:41:28","10C38DA3753C55932032E26EF590CB3F246388E570253C7A5B830C72DC7194A0","583009C15AE7C4149E31BD94B929CE9874F35EAFCD3208DDFE203EC09DF26106","425.16 KB","王贵平","2025年9月10日  09:35:15","15977DCF1A61ECA784CCF3F141FFD57D15150144","2025年8月28日  00:58:15","https://keyserver.ubuntu.com/pks/lookup?search=15977DCF1A61ECA784CCF3F141FFD57D15150144&fingerprint=on&op=index"
"43","贵阳市云岩区人民法院档案室","贵阳市云岩区人民法院档案室相关档案负责人","004700-宣判笔录及送达回证.jpg","2025年8月27日  12:12:17","2020年12月14日  18:41:56","3166AFEFDEC5055204DA2F99408EE6D5FC7952C0BF125157125C7BDC69152B06","9BE2EA472515FD0AC2BD8D0974DA31348ECBCA044BDAA82AAC9E0A3DCFD3A6A4","465.75 KB","王贵平","2025年9月10日  09:35:15","15977DCF1A61ECA784CCF3F141FFD57D15150144","2025年8月28日  00:58:15","https://keyserver.ubuntu.com/pks/lookup?search=15977DCF1A61ECA784CCF3F141FFD57D15150144&fingerprint=on&op=index"
"44","贵阳市云岩区人民法院档案室","贵阳市云岩区人民法院档案室相关档案负责人","004600-宣判笔录及送达回证.jpg","2025年8月27日  12:12:17","2020年12月14日  18:44:12","B3F518E9055B4ECB4114DBC558F6A06FF94D33E9139034CEEC7D651A48A26E20","3DC5C718ADB4093F60540666DB4A712290B9971A5F24B1AE5771319D385DB695","576.61 KB","王贵平","2025年9月10日  09:35:15","15977DCF1A61ECA784CCF3F141FFD57D15150144","2025年8月28日  00:58:15","https://keyserver.ubuntu.com/pks/lookup?search=15977DCF1A61ECA784CCF3F141FFD57D15150144&fingerprint=on&op=index"
"45","贵阳市云岩区人民法院档案室","贵阳市云岩区人民法院档案室相关档案负责人","004500-刑事判决书.jpg","2025年8月27日  12:12:17","2020年12月14日  18:44:56","28F241AF8BF5BD80F9DF9C6DF5AF79A0178E1E90B95D1974503C8E653CD20634","705ECDE6006CA9777F821D0F5A440059875C8B962F82D5D7E650C6ED6D79F32C","515.35 KB","王贵平","2025年9月10日  09:35:14","15977DCF1A61ECA784CCF3F141FFD57D15150144","2025年8月28日  00:58:15","https://keyserver.ubuntu.com/pks/lookup?search=15977DCF1A61ECA784CCF3F141FFD57D15150144&fingerprint=on&op=index"
"46","贵阳市云岩区人民法院档案室","贵阳市云岩区人民法院档案室相关档案负责人","004400-刑事判决书.jpg","2025年8月27日  12:12:17","2020年12月14日  18:46:52","5EB3510C0BA5E0609730DCA332B4FA4C3948332804C71FF7F6B9C6F5A7B791A8","2A73D2778F06AEE20B2B69C0F4D2BBF1A73C56E78E6A2E35C9FE94E841486E3C","965.76 KB","王贵平","2025年9月10日  09:35:14","15977DCF1A61ECA784CCF3F141FFD57D15150144","2025年8月28日  00:58:15","https://keyserver.ubuntu.com/pks/lookup?search=15977DCF1A61ECA784CCF3F141FFD57D15150144&fingerprint=on&op=index"
